Refund Transaction ID,Policy Number,Client Number,Refund Amount,Refund Processed By,Refund Processed Date,Refund Reason
RT000351,PET000274,CL000108,1.92,FIN001,2025-03-30,Missed cancellation refund
RT000352,PET000272,CL000050,4.52,DH001,2025-03-25,Premium collected after cancellation
RT000353,PET000438,CL000135,18.37,DH002,2025-04-29,Premium collected after cancellation
RT000354,PET002584,CL000044,174.25,DH002,2026-06-08,Customer account correction
RT000355,PET001246,CL000026,13.82,FIN002,2025-09-09,Missed cancellation refund
RT000356,PET002433,CL000176,17.27,FIN002,2026-05-26,Premium collected after cancellation
RT000357,PET001231,CL000060,266.96,DH001,2025-09-08,Premium collected after cancellation
RT000358,PET000769,CL000127,17.41,FIN002,2025-06-02,Missed cancellation refund
RT000359,PET000480,CL000016,42.51,DH001,2025-05-21,Missed cancellation refund
RT000360,PET002458,CL000095,47.58,FIN001,2026-05-25,Premium collected after cancellation
RT000361,PET002483,CL000113,47.65,FIN002,2026-05-30,Missed cancellation refund
RT000362,PET000259,CL000094,174.72,FIN002,2025-03-28,Missed cancellation refund
RT000363,PET001795,CL000112,47.55,DH001,2026-01-04,Premium collected after cancellation
RT000364,PET002045,CL000133,46.73,FIN002,2026-02-24,Missed cancellation refund
RT000365,PET001213,CL000112,23.13,DH001,2025-09-26,Refund due following policy review
RT000366,PET002532,CL000187,152.4,FIN001,2026-05-21,Missed cancellation refund
RT000367,PET001968,CL000164,34.79,DH002,2026-02-25,Premium collected after cancellation
RT000368,PET000256,CL000045,33.7,DH002,2025-03-26,Premium collected after cancellation
RT000369,PET000530,CL000037,5.42,DH001,2025-05-14,Customer account correction
RT000370,PET002868,CL000113,76.46,FIN002,2026-07-02,Refund due following policy review
RT000371,PET000947,CL000015,38.43,DH002,2025-07-14,Customer account correction
RT000372,PET000170,CL000107,12.32,FIN001,2025-02-07,Premium collected after cancellation
RT000373,PET002598,CL000135,36.85,DH002,2026-06-04,Premium collected after cancellation
RT000374,PET002444,CL000002,29.86,DH002,2026-05-04,Premium collected after cancellation
RT000375,PET002187,CL000097,54.21,FIN002,2026-03-21,Customer account correction
RT000376,PET000293,CL000010,39.23,DH001,2025-03-16,Customer account correction
RT000377,PET001180,CL000198,59.51,FIN001,2025-09-17,Customer account correction
RT000378,PET000687,CL000198,66.61,FIN001,2025-06-23,Customer account correction
RT000379,PET001280,CL000192,105.18,DH002,2025-09-17,Refund due following policy review
RT000380,PET001448,CL000139,8.54,DH002,2025-10-19,Refund due following policy review
RT000381,PET000137,CL000171,12.61,DH001,2025-02-03,Customer account correction
RT000382,PET000942,CL000072,92.0,FIN002,2025-07-26,Premium collected after cancellation
RT000383,PET002134,CL000137,66.04,FIN002,2026-03-14,Premium collected after cancellation
RT000384,PET000746,CL000010,278.5,DH001,2025-06-05,Customer account correction
RT000385,PET000369,CL000148,5.49,DH001,2025-04-25,Premium collected after cancellation
RT000386,PET002508,CL000134,21.73,DH001,2026-05-23,Missed cancellation refund
RT000387,PET001339,CL000152,37.28,DH001,2025-10-02,Refund due following policy review
RT000388,PET000529,CL000025,16.69,FIN002,2025-05-06,Premium collected after cancellation
RT000389,PET001428,CL000142,3.08,FIN002,2025-10-01,Customer account correction
RT000390,PET001368,CL000123,20.42,DH001,2025-10-09,Customer account correction
RT000391,PET001137,CL000087,3.76,FIN001,2025-08-03,Premium collected after cancellation
RT000392,PET002599,CL000110,32.38,DH001,2026-06-22,Refund due following policy review
RT000393,PET000395,CL000154,210.91,DH002,2025-04-16,Customer account correction
RT000394,PET001027,CL000010,8.12,FIN001,2025-08-30,Refund due following policy review
RT000395,PET002085,CL000007,6.72,FIN001,2026-02-23,Missed cancellation refund
RT000396,PET001029,CL000083,0.75,FIN002,2025-08-19,Refund due following policy review
RT000397,PET001489,CL000025,84.34,DH001,2025-11-16,Refund due following policy review
RT000398,PET000212,CL000173,64.88,DH001,2025-03-02,Refund due following policy review
RT000399,PET002036,CL000158,26.44,DH002,2026-02-03,Missed cancellation refund
RT000400,PET001900,CL000165,22.24,DH002,2026-01-19,Premium collected after cancellation
RT000401,PET000367,CL000052,91.82,FIN002,2025-04-01,Customer account correction
RT000402,PET001754,CL000095,62.99,FIN002,2026-01-02,Missed cancellation refund
RT000403,PET000435,CL000161,43.01,DH002,2025-04-07,Premium collected after cancellation
RT000404,PET000434,CL000140,80.4,FIN002,2025-04-27,Premium collected after cancellation
RT000405,PET001766,CL000016,4.59,DH002,2026-01-14,Missed cancellation refund
RT000406,PET001034,CL000149,92.54,FIN001,2025-08-22,Missed cancellation refund
RT000407,PET001958,CL000167,57.15,DH002,2026-02-13,Premium collected after cancellation
RT000408,PET001031,CL000164,5.02,DH001,2025-08-06,Customer account correction
RT000409,PET000409,CL000082,15.99,FIN002,2025-04-12,Missed cancellation refund
RT000410,PET000110,CL000083,81.36,DH001,2025-02-03,Premium collected after cancellation
RT000411,PET001057,CL000194,17.12,DH001,2025-08-24,Missed cancellation refund
RT000412,PET002832,CL000097,53.85,DH001,2026-07-06,Refund due following policy review
RT000413,PET002651,CL000033,60.14,DH002,2026-06-12,Premium collected after cancellation
RT000414,PET001500,CL000086,18.73,DH001,2025-11-30,Customer account correction
RT000415,PET000334,CL000187,97.87,DH001,2025-03-18,Refund due following policy review
RT000416,PET001924,CL000106,10.92,FIN001,2026-02-14,Customer account correction
RT000417,PET001852,CL000025,43.41,FIN002,2026-01-17,Refund due following policy review
RT000418,PET002037,CL000079,15.53,DH001,2026-02-24,Premium collected after cancellation
RT000419,PET000417,CL000182,3.5,DH002,2025-04-08,Customer account correction
RT000420,PET001136,CL000184,74.84,FIN001,2025-08-20,Premium collected after cancellation
RT000421,PET000481,CL000165,4.7,FIN002,2025-05-27,Customer account correction
RT000422,PET002709,CL000195,270.87,FIN001,2026-06-18,Customer account correction
RT000423,PET000813,CL000190,23.41,FIN002,2025-07-14,Refund due following policy review
RT000424,PET001153,CL000089,57.39,FIN001,2025-08-05,Refund due following policy review
RT000425,PET000497,CL000027,96.24,DH002,2025-05-08,Premium collected after cancellation
RT000426,PET000201,CL000126,256.4,DH001,2025-03-29,Customer account correction
RT000427,PET002620,CL000024,34.31,FIN002,2026-06-17,Refund due following policy review
RT000428,PET002776,CL000116,68.7,FIN002,2026-07-10,Customer account correction
RT000429,PET000291,CL000118,8.69,DH001,2025-03-13,Premium collected after cancellation
RT000430,PET000248,CL000084,7.26,FIN001,2025-03-18,Customer account correction
RT000431,PET002289,CL000109,47.17,DH001,2026-04-17,Premium collected after cancellation
RT000432,PET001469,CL000092,48.54,FIN001,2025-11-21,Missed cancellation refund
RT000433,PET000748,CL000121,21.98,FIN002,2025-06-08,Missed cancellation refund
RT000434,PET000462,CL000001,91.04,DH001,2025-04-20,Refund due following policy review
RT000435,PET001198,CL000197,42.53,DH002,2025-09-14,Premium collected after cancellation
RT000436,PET001257,CL000041,8.94,DH001,2025-09-29,Missed cancellation refund
RT000437,PET000743,CL000180,23.81,FIN001,2025-06-05,Premium collected after cancellation
RT000438,PET000098,CL000034,33.46,FIN002,2025-02-05,Refund due following policy review
RT000439,PET001696,CL000143,295.34,DH001,2025-12-14,Premium collected after cancellation
RT000440,PET002135,CL000165,20.39,DH002,2026-03-16,Customer account correction
RT000441,PET000546,CL000143,88.97,FIN002,2025-05-21,Customer account correction
RT000442,PET002412,CL000182,22.83,DH002,2026-04-13,Refund due following policy review
RT000443,PET002427,CL000066,46.4,DH001,2026-05-28,Customer account correction
RT000444,PET000672,CL000029,4.47,DH002,2025-06-15,Premium collected after cancellation
RT000445,PET002743,CL000039,7.01,FIN001,2026-07-04,Missed cancellation refund
RT000446,PET002476,CL000113,7.17,FIN001,2026-05-04,Missed cancellation refund
RT000447,PET001856,CL000139,4.22,DH002,2026-01-30,Customer account correction
RT000448,PET001255,CL000179,1.52,FIN002,2025-09-05,Customer account correction
RT000449,PET000106,CL000081,32.94,FIN001,2025-03-01,Refund due following policy review
RT000450,PET002046,CL000006,201.91,DH002,2026-02-09,Missed cancellation refund
RT000451,PET000860,CL000075,37.63,FIN002,2025-07-03,Premium collected after cancellation
RT000452,PET001382,CL000151,83.2,FIN002,2025-10-10,Missed cancellation refund
RT000453,PET002727,CL000184,33.33,DH002,2026-06-19,Missed cancellation refund
RT000454,PET001582,CL000072,23.54,DH001,2025-11-13,Missed cancellation refund
RT000455,PET000931,CL000154,10.23,FIN001,2025-07-24,Refund due following policy review
RT000456,PET002626,CL000139,4.29,FIN001,2026-06-19,Missed cancellation refund
RT000457,PET000796,CL000146,24.55,DH001,2025-06-13,Customer account correction
RT000458,PET002690,CL000137,33.26,FIN001,2026-06-20,Premium collected after cancellation
RT000459,PET002094,CL000147,51.16,FIN002,2026-03-02,Premium collected after cancellation
RT000460,PET000228,CL000037,5.85,DH001,2025-03-13,Refund due following policy review
RT000461,PET000233,CL000018,2.55,FIN001,2025-03-05,Customer account correction
RT000462,PET001290,CL000041,40.01,DH001,2025-09-13,Premium collected after cancellation
RT000463,PET000253,CL000108,45.39,FIN001,2025-03-26,Missed cancellation refund
RT000464,PET000113,CL000182,27.58,DH002,2025-02-07,Missed cancellation refund
RT000465,PET000053,CL000023,28.04,DH001,2025-03-01,Customer account correction
RT000466,PET001603,CL000086,81.18,FIN002,2025-12-18,Missed cancellation refund
RT000467,PET000843,CL000010,19.56,DH001,2025-07-19,Refund due following policy review
RT000468,PET002275,CL000020,36.31,FIN001,2026-03-10,Premium collected after cancellation
RT000469,PET001192,CL000063,53.24,DH001,2025-09-28,Customer account correction
RT000470,PET001943,CL000033,38.76,FIN002,2026-02-02,Missed cancellation refund
RT000471,PET002814,CL000167,67.62,FIN001,2026-07-09,Customer account correction
RT000472,PET000929,CL000123,35.72,FIN002,2025-07-13,Refund due following policy review
RT000473,PET000500,CL000009,52.99,DH002,2025-05-15,Premium collected after cancellation
RT000474,PET002018,CL000177,54.54,DH002,2026-02-15,Missed cancellation refund
RT000475,PET001019,CL000100,2.64,FIN001,2025-08-05,Customer account correction
RT000476,PET001467,CL000143,35.41,FIN002,2025-11-07,Premium collected after cancellation
RT000477,PET000466,CL000069,31.85,FIN002,2025-04-03,Premium collected after cancellation
RT000478,PET002424,CL000034,11.54,DH001,2026-05-18,Premium collected after cancellation
RT000479,PET001589,CL000047,110.02,FIN001,2025-11-11,Missed cancellation refund
RT000480,PET001194,CL000010,172.92,DH001,2025-09-17,Premium collected after cancellation
RT000481,PET001163,CL000080,38.16,DH002,2025-09-18,Missed cancellation refund
RT000482,PET002548,CL000159,94.71,FIN002,2026-05-22,Missed cancellation refund
RT000483,PET000487,CL000015,38.84,DH002,2025-05-17,Premium collected after cancellation
RT000484,PET001679,CL000168,28.48,FIN002,2025-12-20,Missed cancellation refund
RT000485,PET001263,CL000145,13.85,DH002,2025-09-18,Premium collected after cancellation
RT000486,PET000214,CL000116,93.28,DH001,2025-03-20,Customer account correction
RT000487,PET002021,CL000092,1.94,DH002,2026-02-19,Missed cancellation refund
RT000488,PET002056,CL000084,16.01,FIN001,2026-02-10,Missed cancellation refund
RT000489,PET001419,CL000047,11.82,FIN002,2025-10-08,Missed cancellation refund
RT000490,PET000424,CL000158,32.69,FIN001,2025-04-24,Refund due following policy review
RT000491,PET001379,CL000190,93.93,FIN002,2025-10-11,Premium collected after cancellation
RT000492,PET000315,CL000131,95.51,FIN002,2025-03-17,Premium collected after cancellation
RT000493,PET000652,CL000085,28.18,FIN002,2025-06-06,Missed cancellation refund
RT000494,PET002173,CL000112,150.89,FIN001,2026-03-13,Premium collected after cancellation
RT000495,PET002828,CL000141,27.83,DH002,2026-07-16,Premium collected after cancellation
RT000496,PET002453,CL000177,1.83,DH002,2026-05-19,Premium collected after cancellation
RT000497,PET000664,CL000078,88.43,DH001,2025-06-16,Refund due following policy review
RT000498,PET002556,CL000087,67.72,DH002,2026-05-11,Customer account correction
RT000499,PET001699,CL000183,58.42,FIN002,2025-12-29,Premium collected after cancellation
RT000500,PET000220,CL000168,8.73,DH002,2025-03-16,Customer account correction
RT000501,PET002467,CL000038,2.57,DH002,2026-05-19,Premium adjustment following review
RT000502,PET002111,CL000088,129.13,DH001,2026-03-19,Refund processed after account recalculation
RT000503,PET002273,CL000040,8.26,FIN001,2026-03-06,Premium adjustment following review
RT000504,PET001792,CL000103,12.27,DH002,2026-01-17,Account balance correction
RT000505,PET000289,CL000108,73.23,FIN001,2025-03-16,Account balance correction
RT000506,PET002331,CL000003,53.21,DH002,2026-04-12,Manual accounting correction
RT000507,PET001537,CL000174,6.64,FIN002,2025-11-23,Manual accounting correction
RT000508,PET001446,CL000175,209.69,DH001,2025-10-21,Premium adjustment following review
RT000509,PET001216,CL000107,13.48,FIN002,2025-09-16,Manual accounting correction
RT000510,PET000659,CL000131,49.83,DH001,2025-06-22,Refund processed after account recalculation
RT000511,PET001443,CL000163,41.94,FIN001,2025-10-23,Manual accounting correction
RT000512,PET001044,CL000090,7.24,DH002,2025-08-18,Manual accounting correction
RT000513,PET001502,CL000009,39.3,DH002,2025-11-09,Refund processed after account recalculation
RT000514,PET000200,CL000167,108.15,DH001,2025-03-23,Premium adjustment following review
RT000515,PET001571,CL000186,223.25,FIN001,2025-11-22,Refund processed after account recalculation
RT000516,PET002343,CL000076,116.0,DH001,2026-04-30,Premium adjustment following review
RT000517,PET001989,CL000134,30.78,FIN001,2026-02-05,Premium adjustment following review
RT000518,PET002379,CL000088,179.61,FIN001,2026-04-13,Refund processed after account recalculation
RT000519,PET002485,CL000136,25.38,FIN002,2026-05-28,Refund processed after account recalculation
RT000520,PET001167,CL000043,6.4,FIN001,2025-09-16,Refund processed after account recalculation
RT000521,PET001546,CL000052,16.75,DH002,2025-11-29,Premium adjustment following review
RT000522,PET002006,CL000117,49.89,FIN001,2026-02-01,Premium adjustment following review
RT000523,PET001990,CL000055,146.47,FIN002,2026-02-02,Account balance correction
RT000524,PET000839,CL000099,205.18,DH002,2025-07-24,Refund processed after account recalculation
RT000525,PET002104,CL000069,18.28,DH001,2026-03-11,Refund processed after account recalculation
RT000526,PET000019,CL000098,3.16,FIN002,2025-02-16,Manual accounting correction
RT000527,PET002058,CL000002,26.03,DH001,2026-02-13,Refund processed after account recalculation
RT000528,PET002334,CL000085,36.59,FIN001,2026-04-13,Premium adjustment following review
RT000529,PET001492,CL000087,29.08,DH001,2025-11-29,Account balance correction
RT000530,PET000265,CL000027,2.54,DH001,2025-03-03,Account balance correction
RT000531,PET002520,CL000140,18.18,FIN002,2026-05-24,Premium adjustment following review
RT000532,PET002512,CL000087,28.67,DH001,2026-05-27,Premium adjustment following review
RT000533,PET001400,CL000137,100.58,FIN001,2025-10-20,Premium adjustment following review
RT000534,PET002411,CL000162,28.6,FIN001,2026-04-12,Premium adjustment following review
RT000535,PET001423,CL000029,48.32,DH001,2025-10-05,Manual accounting correction
RT000536,PET001897,CL000050,73.96,DH001,2026-01-21,Account balance correction
RT000537,PET002031,CL000192,32.41,FIN002,2026-02-15,Premium adjustment following review
RT000538,PET002063,CL000126,27.84,FIN001,2026-02-05,Account balance correction
RT000539,PET001127,CL000122,85.52,DH001,2025-08-11,Premium adjustment following review
RT000540,PET002218,CL000105,298.69,FIN002,2026-03-29,Refund processed after account recalculation
RT000541,PET002123,CL000017,121.32,DH002,2026-03-08,Account balance correction
RT000542,PET002871,CL000042,5.9,DH001,2026-07-06,Premium adjustment following review
RT000543,PET001687,CL000116,10.31,FIN002,2025-12-21,Account balance correction
RT000544,PET002369,CL000128,74.77,DH001,2026-04-06,Manual accounting correction
RT000545,PET002595,CL000093,47.37,FIN001,2026-06-28,Refund processed after account recalculation
RT000546,PET000152,CL000005,40.66,FIN002,2025-02-26,Account balance correction
RT000547,PET000495,CL000159,44.5,FIN001,2025-05-30,Account balance correction
RT000548,PET001765,CL000041,238.39,FIN001,2026-01-28,Account balance correction
RT000549,PET002855,CL000085,23.42,DH002,2026-07-08,Premium adjustment following review
RT000550,PET002227,CL000103,60.26,DH001,2026-03-07,Manual accounting correction
RT000551,PET001149,CL000070,4.97,FIN001,2025-08-11,Refund processed after account recalculation
RT000552,PET001338,CL000188,8.03,FIN002,2025-10-15,Manual accounting correction
RT000553,PET002032,CL000112,39.99,DH001,2026-02-27,Premium adjustment following review
RT000554,PET002418,CL000143,48.41,FIN002,2026-05-23,Premium adjustment following review
RT000555,PET000720,CL000189,7.41,DH002,2025-06-20,Premium adjustment following review
RT000556,PET002391,CL000146,147.01,FIN001,2026-04-27,Account balance correction
RT000557,PET002429,CL000151,1.69,DH001,2026-05-20,Manual accounting correction
RT000558,PET002733,CL000008,43.12,FIN001,2026-07-12,Account balance correction
RT000559,PET002867,CL000160,33.91,DH001,2026-07-13,Premium adjustment following review
RT000560,PET001006,CL000147,79.44,DH002,2025-08-16,Refund processed after account recalculation
RT000561,PET001197,CL000026,35.13,FIN001,2025-09-03,Account balance correction
RT000562,PET002869,CL000100,3.72,DH001,2026-07-23,Premium adjustment following review
RT000563,PET001642,CL000047,16.66,DH002,2025-12-20,Premium adjustment following review
RT000564,PET000516,CL000144,99.94,FIN001,2025-05-22,Premium adjustment following review
RT000565,PET001640,CL000190,16.63,DH001,2025-12-17,Account balance correction
RT000566,PET002138,CL000051,37.47,DH002,2026-03-24,Account balance correction
RT000567,PET002043,CL000179,79.01,DH002,2026-03-01,Account balance correction
RT000568,PET002287,CL000144,19.27,FIN001,2026-04-18,Premium adjustment following review
RT000569,PET001175,CL000158,242.29,FIN002,2025-09-14,Account balance correction
RT000570,PET000902,CL000059,32.11,FIN002,2025-07-04,Manual accounting correction
RT000571,PET001785,CL000045,4.0,DH001,2026-01-24,Account balance correction
RT000572,PET002030,CL000133,70.01,DH001,2026-02-28,Refund processed after account recalculation
RT000573,PET000711,CL000134,98.18,DH001,2025-06-21,Refund processed after account recalculation
RT000574,PET000639,CL000129,38.5,FIN001,2025-05-26,Premium adjustment following review
RT000575,PET002652,CL000094,29.59,DH001,2026-06-26,Manual accounting correction
RT000576,PET002472,CL000038,71.7,DH001,2026-05-24,Account balance correction
RT000577,PET001753,CL000014,40.57,FIN002,2026-01-16,Account balance correction
RT000578,PET002671,CL000122,39.26,FIN002,2026-06-03,Premium adjustment following review
RT000579,PET000074,CL000199,17.05,FIN002,2025-02-01,Account balance correction
RT000580,PET000543,CL000038,60.95,DH002,2025-05-07,Premium adjustment following review
RT000581,PET001940,CL000073,96.08,DH002,2026-01-20,Earlier policy refund
RT000582,PET000714,CL000086,96.59,FIN002,2025-05-23,Historic account correction
RT000583,PET002261,CL000089,33.92,DH002,2026-02-23,Prior premium adjustment
RT000584,PET000049,CL000184,8.28,FIN002,2025-01-05,Earlier policy refund
RT000585,PET002376,CL000002,10.99,FIN002,2026-03-12,Historic account correction
RT000586,PET000815,CL000101,81.37,FIN002,2025-06-25,Earlier policy refund
RT000587,PET000805,CL000173,30.83,DH001,2025-06-10,Earlier policy refund
RT000588,PET001440,CL000138,5.01,FIN002,2025-09-18,Prior premium adjustment
RT000589,PET001056,CL000087,94.79,FIN001,2025-07-30,Earlier policy refund
RT000590,PET001181,CL000075,60.29,FIN002,2025-08-18,Historic account correction
RT000591,PET002821,CL000188,1.12,DH002,2026-06-25,Prior premium adjustment
RT000592,PET001404,CL000140,77.61,FIN002,2025-09-23,Previous cancellation refund
RT000593,PET002473,CL000109,4.18,FIN001,2026-04-03,Earlier policy refund
RT000594,PET001171,CL000029,20.64,DH001,2025-08-09,Historic account correction
RT000595,PET002004,CL000011,28.58,DH002,2026-01-27,Prior premium adjustment
RT000596,PET001217,CL000104,19.41,DH001,2025-08-05,Historic account correction
RT000597,PET000832,CL000117,35.65,FIN002,2025-06-13,Previous cancellation refund
RT000598,PET000444,CL000148,89.98,DH002,2025-03-04,Previous cancellation refund
RT000599,PET002041,CL000036,44.56,DH001,2026-01-08,Previous cancellation refund
RT000600,PET000273,CL000018,5.79,FIN001,2025-02-18,Earlier policy refund
RT000601,PET002232,CL000187,16.75,DH002,2026-02-12,Prior premium adjustment
RT000602,PET000294,CL000080,4.14,DH001,2025-02-12,Prior premium adjustment
RT000603,PET001875,CL000174,97.56,FIN002,2025-12-09,Earlier policy refund
RT000604,PET000226,CL000025,5.03,FIN002,2025-02-21,Prior premium adjustment
RT000605,PET001823,CL000149,290.28,FIN001,2025-12-21,Prior premium adjustment
RT000606,PET000335,CL000192,86.3,FIN001,2025-03-24,Previous cancellation refund
RT000607,PET001914,CL000113,73.56,DH002,2026-01-22,Historic account correction
RT000608,PET002016,CL000043,12.47,FIN001,2026-01-27,Historic account correction
RT000609,PET002406,CL000032,12.53,FIN001,2026-03-30,Prior premium adjustment
RT000610,PET001675,CL000194,43.29,DH001,2025-11-01,Earlier policy refund
RT000611,PET002040,CL000002,41.5,DH001,2026-01-29,Prior premium adjustment
RT000612,PET002866,CL000024,74.97,DH002,2026-06-03,Prior premium adjustment
RT000613,PET000553,CL000152,12.7,DH002,2025-04-30,Previous cancellation refund
RT000614,PET000489,CL000025,16.84,DH001,2025-04-06,Historic account correction
RT000615,PET001367,CL000126,38.7,DH001,2025-09-20,Previous cancellation refund
RT000616,PET000156,CL000068,59.62,FIN002,2025-01-15,Earlier policy refund
RT000617,PET002477,CL000027,52.75,DH002,2026-04-22,Prior premium adjustment
RT000618,PET001828,CL000069,26.21,FIN001,2025-12-16,Historic account correction
RT000619,PET002116,CL000159,47.99,FIN001,2026-02-15,Earlier policy refund
RT000620,PET001812,CL000144,38.01,FIN001,2025-12-15,Prior premium adjustment
RT000621,PET001684,CL000140,37.78,FIN001,2025-11-18,Previous cancellation refund
RT000622,PET002857,CL000059,75.56,DH002,2026-06-14,Previous cancellation refund
RT000623,PET002417,CL000056,292.64,FIN002,2026-04-05,Earlier policy refund
RT000624,PET001355,CL000115,52.3,DH002,2025-09-17,Prior premium adjustment
RT000625,PET001969,CL000114,97.45,FIN002,2026-01-20,Previous cancellation refund
RT000626,PET001615,CL000112,271.56,DH002,2025-11-26,Prior premium adjustment
RT000627,PET000403,CL000083,78.16,DH001,2025-03-20,Prior premium adjustment
RT000628,PET000871,CL000096,92.04,FIN002,2025-06-27,Earlier policy refund
RT000629,PET000641,CL000173,110.38,DH001,2025-04-25,Earlier policy refund
RT000630,PET001761,CL000020,5.69,FIN002,2025-12-02,Prior premium adjustment
RT000631,PET000115,CL000179,56.46,DH001,2025-01-29,Previous cancellation refund
RT000632,PET002737,CL000133,9.03,DH001,2026-06-16,Historic account correction
RT000633,PET001270,CL000186,140.84,FIN001,2025-08-06,Historic account correction
RT000634,PET002777,CL000032,15.79,FIN002,2026-06-01,Previous cancellation refund
RT000635,PET000957,CL000108,23.47,DH002,2025-06-26,Prior premium adjustment
RT000636,PET001154,CL000166,40.15,DH001,2025-08-26,Earlier policy refund
RT000637,PET000261,CL000033,10.08,DH001,2025-02-17,Previous cancellation refund
RT000638,PET000586,CL000198,54.47,FIN002,2025-04-13,Prior premium adjustment
RT000639,PET000380,CL000159,36.2,FIN001,2025-03-02,Historic account correction
RT000640,PET002430,CL000198,23.2,DH001,2026-04-24,Historic account correction
RT000641,PET000677,CL000185,281.75,FIN002,2025-06-25,Potential duplicate transaction
RT000642,PET001146,CL000003,286.03,DH001,2025-08-03,Duplicate refund record for review
RT000643,PET000619,CL000178,28.94,DH002,2025-05-10,Repeated accounting entry
RT000644,PET002344,CL000013,8.3,DH002,2026-04-21,Potential duplicate transaction
RT000645,PET000675,CL000180,89.62,FIN002,2025-06-04,Potential duplicate transaction
RT000646,PET002076,CL000056,38.51,DH001,2026-02-20,Potential duplicate transaction
RT000647,PET001588,CL000067,77.33,DH002,2025-11-22,Duplicate refund record for review
RT000648,PET000863,CL000061,77.34,DH001,2025-07-20,Potential duplicate transaction
RT000649,PET000721,CL000090,69.56,FIN002,2025-06-10,Potential duplicate transaction
RT000650,PET002185,CL000097,65.05,FIN001,2026-03-01,Potential duplicate transaction
RT000651,PET001533,CL000068,79.18,DH002,2025-11-27,Duplicate refund record for review
RT000652,PET002297,CL000059,20.58,DH002,2026-04-10,Potential duplicate transaction
RT000653,PET002202,CL000182,87.02,DH001,2026-03-25,Potential duplicate transaction
RT000654,PET002573,CL000118,22.14,FIN002,2026-06-06,Potential duplicate transaction
RT000655,PET001301,CL000194,138.95,FIN001,2025-10-05,Duplicate refund record for review
RT000656,PET002522,CL000094,83.01,DH002,2026-05-24,Potential duplicate transaction
RT000657,PET002027,CL000169,45.85,DH002,2026-03-01,Duplicate refund record for review
RT000658,PET000593,CL000155,36.94,FIN001,2025-05-26,Repeated accounting entry
RT000659,PET001158,CL000184,8.04,FIN001,2025-09-23,Repeated accounting entry
RT000660,PET000588,CL000122,34.02,DH002,2025-05-08,Repeated accounting entry
RT000661,PET002789,CL000165,9.61,DH002,2026-07-28,Potential duplicate transaction
RT000662,PET000725,CL000009,4.27,FIN001,2025-06-21,Duplicate refund record for review
RT000663,PET000185,CL000186,74.53,FIN001,2025-02-06,Repeated accounting entry
RT000664,PET001803,CL000163,13.76,FIN001,2026-01-04,Repeated accounting entry
RT000665,PET001357,CL000002,15.2,DH001,2025-10-27,Repeated accounting entry
RT000666,PET002195,CL000023,7.67,DH002,2026-03-09,Duplicate refund record for review
RT000667,PET002475,CL000061,234.45,FIN001,2026-05-23,Duplicate refund record for review
RT000668,PET002120,CL000017,3.65,FIN002,2026-03-05,Duplicate refund record for review
RT000669,PET001506,CL000134,20.24,FIN001,2025-11-09,Repeated accounting entry
RT000670,PET002461,CL000109,78.14,DH002,2026-05-09,Repeated accounting entry
RT000671,PET002144,CL000154,12.59,FIN001,2026-03-09,Repeated accounting entry
RT000672,PET001565,CL000151,98.75,DH001,2025-11-21,Repeated accounting entry
RT000673,PET002498,CL000086,53.21,DH001,2026-05-28,Duplicate refund record for review
RT000674,PET000219,CL000137,31.56,FIN001,2025-03-28,Duplicate refund record for review
RT000675,PET002677,CL000058,52.87,FIN002,2026-06-23,Repeated accounting entry
RT000676,PET000694,CL000130,71.68,FIN002,2025-06-07,Potential duplicate transaction
RT000677,PET002066,CL000042,267.93,FIN001,2026-03-01,Duplicate refund record for review
RT000678,PET000557,CL000074,62.83,DH001,2025-05-17,Potential duplicate transaction
RT000679,PET001952,CL000054,89.09,FIN002,2026-02-17,Repeated accounting entry
RT000680,PET002277,CL000055,37.46,DH002,2026-03-22,Duplicate refund record for review
RT000681,PET000677,CL000185,281.75,DH002,2025-06-24,Repeated accounting entry
RT000682,PET001146,CL000003,286.03,FIN002,2025-08-29,Duplicate refund record for review
RT000683,PET000619,CL000178,28.94,FIN001,2025-05-18,Duplicate refund record for review
RT000684,PET002344,CL000013,8.3,FIN001,2026-04-19,Repeated accounting entry
RT000685,PET000675,CL000180,89.62,DH002,2025-06-23,Repeated accounting entry
RT000686,PET002076,CL000056,38.51,FIN002,2026-02-08,Potential duplicate transaction
RT000687,PET001588,CL000067,77.33,DH002,2025-11-10,Duplicate refund record for review
RT000688,PET000863,CL000061,77.34,FIN001,2025-07-19,Potential duplicate transaction
RT000689,PET000721,CL000090,69.56,FIN002,2025-06-02,Duplicate refund record for review
RT000690,PET002185,CL000097,65.05,FIN001,2026-03-10,Duplicate refund record for review
RT000691,PET001533,CL000068,79.18,DH001,2025-11-22,Potential duplicate transaction
RT000692,PET002297,CL000059,20.58,DH002,2026-04-30,Potential duplicate transaction
RT000693,PET002202,CL000182,87.02,DH002,2026-03-16,Repeated accounting entry
RT000694,PET002573,CL000118,22.14,FIN002,2026-06-12,Duplicate refund record for review
RT000695,PET001301,CL000194,138.95,FIN001,2025-10-14,Duplicate refund record for review
RT000696,PET002522,CL000094,83.01,DH002,2026-05-21,Repeated accounting entry
RT000697,PET002027,CL000169,45.85,FIN001,2026-02-17,Repeated accounting entry
RT000698,PET000593,CL000155,36.94,FIN001,2025-05-01,Potential duplicate transaction
