Case ID,Policy Number,Client Number,Snapshot Date,Outstanding Amount,Cancellation Status,Cancelling Department,Cancelling Agent,Refund Type,Root Cause,Customer Contacted
DH000500,PET000500,CL000009,2025-04-30,52.99,Cancelled,Customer Service,CS006,Death of Pet,Payment Date Misunderstood,No
DH000501,PET000501,CL000044,2025-04-30,32.11,Void,Customer Service,CS007,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000502,PET000502,CL000064,2025-04-30,27.38,Cancelled,Complaints,CMP005,Death of Pet,Refund Mailbox Delay,No
DH000503,PET000503,CL000109,2025-04-30,29.18,Cancelled,Claims,CLM008,Death of Pet,Payment Date Misunderstood,No
DH000504,PET000504,CL000034,2025-04-30,19.57,Cancelled,Retentions,RET022,Death of Pet,Payment Date Misunderstood,No
DH000505,PET000505,CL000119,2025-04-30,93.71,Void,Retentions,RET015,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000506,PET000506,CL000009,2025-04-30,40.12,Cancelled,Customer Service,CS019,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000507,PET000507,CL000015,2025-04-30,46.4,Cancelled,Retentions,RET015,Death of Pet,Payment Date Misunderstood,Yes
DH000508,PET000508,CL000053,2025-04-30,3.68,Cancelled,Customer Service,CS025,Cancellation Before Premium Due,Waiting for Information,No
DH000509,PET000509,CL000129,2025-04-30,63.86,Cancelled,Customer Service,CS017,Death of Pet,Waiting for Information,No
DH000510,PET000510,CL000095,2025-04-30,97.27,Void,Complaints,CMP001,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000511,PET000511,CL000074,2025-04-30,115.4,Cancelled,Retentions,RET005,Death of Pet,Payment Date Misunderstood,No
DH000512,PET000512,CL000034,2025-04-30,26.81,Void,Retentions,RET007,Death of Pet,Waiting for Information,No
DH000513,PET000513,CL000149,2025-04-30,35.85,Cancelled,Customer Service,CS018,Death of Pet,Waiting for Information,No
DH000514,PET000514,CL000059,2025-04-30,48.83,Cancelled,Retentions,RET012,Death of Pet,Refund Mailbox Delay,No
DH000515,PET000515,CL000045,2025-04-30,84.65,Cancelled,Retentions,RET008,Death of Pet,Payment Date Misunderstood,No
DH000516,PET000516,CL000144,2025-04-30,83.28,Cancelled,Retentions,RET015,Death of Pet,Payment Date Misunderstood,No
DH000517,PET000517,CL000118,2025-04-30,131.22,Cancelled,Customer Service,CS017,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000518,PET000518,CL000194,2025-04-30,214.75,Cancelled,Claims,CLM008,Cancellation Before Premium Due,Agent Forgot,No
DH000519,PET000519,CL000142,2025-04-30,0.74,Cancelled,Retentions,RET012,Death of Pet,Payment Date Misunderstood,No
DH000520,PET000520,CL000197,2025-04-30,10.91,Cancelled,Customer Service,CS003,Death of Pet,Payment Date Misunderstood,No
DH000521,PET000521,CL000093,2025-04-30,38.64,Cancelled,Retentions,RET012,Death of Pet,Payment Date Misunderstood,No
DH000522,PET000522,CL000190,2025-04-30,260.74,Cancelled,Complaints,CMP004,Death of Pet,Payment Date Misunderstood,No
DH000523,PET000523,CL000135,2025-04-30,113.23,Void,Customer Service,CS003,Death of Pet,Payment Date Misunderstood,No
DH000524,PET000524,CL000194,2025-04-30,139.86,Void,Retentions,RET016,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000525,PET000525,CL000190,2025-04-30,11.08,Cancelled,Complaints,CMP004,Cancellation Before Premium Due,Waiting for Information,No
DH000526,PET000526,CL000177,2025-04-30,51.43,Cancelled,Customer Service,CS003,Cancellation Before Premium Due,Agent Forgot,No
DH000527,PET000527,CL000122,2025-04-30,263.66,Cancelled,Retentions,RET009,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000528,PET000528,CL000092,2025-04-30,20.91,Void,Retentions,RET010,Death of Pet,Payment Date Misunderstood,No
DH000529,PET000529,CL000025,2025-04-30,16.69,Cancelled,Claims,CLM005,Cancellation Before Premium Due,Agent Forgot,Yes
DH000530,PET000530,CL000037,2025-04-30,5.42,Cancelled,Retentions,RET030,Death of Pet,Payment Date Misunderstood,No
DH000531,PET000531,CL000158,2025-04-30,97.63,Void,Customer Service,CS023,Death of Pet,Payment Date Misunderstood,No
DH000532,PET000532,CL000090,2025-04-30,24.51,Cancelled,Claims,CLM010,Death of Pet,Agent Forgot,Yes
DH000533,PET000533,CL000178,2025-04-30,2.65,Void,Retentions,RET023,Death of Pet,Agent Forgot,Yes
DH000534,PET000534,CL000169,2025-04-30,12.38,Cancelled,Retentions,RET022,Cancellation Before Premium Due,Waiting for Information,No
DH000535,PET000535,CL000052,2025-04-30,24.07,Void,Complaints,CMP005,Death of Pet,Agent Forgot,No
DH000536,PET000536,CL000018,2025-04-30,5.99,Void,Retentions,RET010,Cancellation from Renewal (Void),Agent Forgot,No
DH000537,PET000537,CL000055,2025-04-30,270.26,Cancelled,Retentions,RET022,Death of Pet,Payment Date Misunderstood,No
DH000538,PET000538,CL000029,2025-04-30,65.72,Cancelled,Customer Service,CS012,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000539,PET000539,CL000073,2025-04-30,39.45,Void,Claims,CLM004,Death of Pet,Payment Date Misunderstood,Yes
DH000540,PET000540,CL000122,2025-04-30,173.49,Cancelled,Customer Service,CS013,Death of Pet,Payment Date Misunderstood,No
DH000541,PET000541,CL000027,2025-04-30,94.62,Void,Retentions,RET007,Death of Pet,Agent Forgot,Yes
DH000542,PET000542,CL000149,2025-04-30,40.25,Cancelled,Complaints,CMP003,Cancellation Before Premium Due,Refund Mailbox Delay,No
DH000543,PET000543,CL000038,2025-04-30,55.41,Cancelled,Customer Service,CS005,Death of Pet,Payment Date Misunderstood,No
DH000544,PET000544,CL000098,2025-04-30,66.35,Cancelled,Customer Service,CS022,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000545,PET000545,CL000067,2025-04-30,42.38,Cancelled,Customer Service,CS014,Death of Pet,Payment Date Misunderstood,No
DH000546,PET000546,CL000143,2025-04-30,88.97,Cancelled,Retentions,RET014,Death of Pet,Agent Forgot,No
DH000547,PET000547,CL000142,2025-04-30,78.61,Void,Customer Service,CS013,Death of Pet,Payment Date Misunderstood,No
DH000548,PET000548,CL000083,2025-04-30,6.11,Cancelled,Claims,CLM010,Cancellation Before Premium Due,Agent Forgot,Yes
DH000549,PET000549,CL000092,2025-04-30,12.27,Void,Retentions,RET003,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000550,PET000550,CL000010,2025-04-30,44.54,Cancelled,Claims,CLM005,Cancellation Before Premium Due,Agent Forgot,No
DH000551,PET000551,CL000100,2025-04-30,13.92,Cancelled,Retentions,RET016,Death of Pet,Refund Mailbox Delay,Yes
DH000552,PET000552,CL000020,2025-04-30,76.8,Cancelled,Complaints,CMP004,Cancellation Before Premium Due,Refund Mailbox Delay,No
DH000553,PET000553,CL000152,2025-04-30,12.7,Cancelled,Customer Service,CS007,Cancellation Before Premium Due,Agent Forgot,Yes
DH000554,PET000554,CL000111,2025-04-30,65.67,Void,Customer Service,CS022,Cancellation from Renewal (Void),Agent Forgot,No
DH000555,PET000555,CL000128,2025-04-30,48.49,Void,Customer Service,CS021,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000556,PET000556,CL000119,2025-04-30,1.93,Void,Retentions,RET014,Death of Pet,Payment Date Misunderstood,No
DH000557,PET000557,CL000074,2025-04-30,62.83,Cancelled,Retentions,RET004,Death of Pet,Waiting for Information,No
DH000558,PET000558,CL000112,2025-04-30,46.23,Cancelled,Retentions,RET026,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000559,PET000559,CL000125,2025-04-30,52.78,Void,Retentions,RET010,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000560,PET000560,CL000024,2025-04-30,43.59,Void,Retentions,RET019,Death of Pet,Refund Mailbox Delay,No
DH000561,PET000561,CL000024,2025-04-30,14.9,Void,Retentions,RET019,Cancellation from Renewal (Void),Agent Forgot,No
DH000562,PET000562,CL000028,2025-04-30,48.8,Cancelled,Customer Service,CS016,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000563,PET000563,CL000064,2025-04-30,275.89,Void,Retentions,RET023,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000564,PET000564,CL000190,2025-04-30,97.04,Cancelled,Claims,CLM004,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000565,PET000565,CL000176,2025-04-30,8.74,Void,Retentions,RET030,Cancellation from Renewal (Void),Refund Mailbox Delay,No
DH000566,PET000566,CL000194,2025-04-30,18.42,Cancelled,Claims,CLM006,Cancellation Before Premium Due,Payment Date Misunderstood,Yes
DH000567,PET000567,CL000126,2025-04-30,26.52,Cancelled,Customer Service,CS004,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000568,PET000568,CL000141,2025-04-30,72.67,Cancelled,Customer Service,CS021,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000569,PET000569,CL000081,2025-04-30,14.44,Void,Customer Service,CS021,Cancellation from Renewal (Void),Agent Forgot,No
DH000570,PET000570,CL000123,2025-04-30,56.68,Cancelled,Retentions,RET010,Death of Pet,Payment Date Misunderstood,No
DH000571,PET000571,CL000147,2025-04-30,47.92,Void,Customer Service,CS021,Cancellation from Renewal (Void),Refund Mailbox Delay,Yes
DH000572,PET000572,CL000044,2025-04-30,6.37,Void,Retentions,RET012,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000573,PET000573,CL000117,2025-04-30,74.71,Cancelled,Complaints,CMP003,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000574,PET000574,CL000056,2025-04-30,156.6,Void,Retentions,RET014,Death of Pet,Payment Date Misunderstood,No
DH000575,PET000575,CL000150,2025-04-30,72.91,Cancelled,Retentions,RET023,Cancellation Before Premium Due,Agent Forgot,No
DH000576,PET000576,CL000066,2025-04-30,5.79,Cancelled,Customer Service,CS012,Death of Pet,Payment Date Misunderstood,No
DH000577,PET000577,CL000034,2025-04-30,211.92,Void,Retentions,RET017,Cancellation from Renewal (Void),Waiting for Information,Yes
DH000578,PET000578,CL000136,2025-04-30,20.42,Void,Customer Service,CS009,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000579,PET000579,CL000195,2025-04-30,203.4,Cancelled,Customer Service,CS016,Cancellation Before Premium Due,Refund Mailbox Delay,No
DH000580,PET000580,CL000049,2025-04-30,2.68,Void,Customer Service,CS014,Cancellation from Renewal (Void),Refund Mailbox Delay,Yes
DH000581,PET000581,CL000182,2025-04-30,28.32,Cancelled,Retentions,RET012,Death of Pet,Waiting for Information,No
DH000582,PET000582,CL000145,2025-04-30,79.29,Cancelled,Complaints,CMP005,Death of Pet,Agent Forgot,No
DH000583,PET000583,CL000007,2025-04-30,49.25,Cancelled,Complaints,CMP001,Death of Pet,Waiting for Information,No
DH000584,PET000584,CL000069,2025-04-30,10.24,Void,Customer Service,CS015,Cancellation from Renewal (Void),Refund Mailbox Delay,No
DH000585,PET000585,CL000034,2025-04-30,11.96,Cancelled,Retentions,RET002,Death of Pet,Payment Date Misunderstood,No
DH000586,PET000586,CL000198,2025-04-30,54.47,Void,Retentions,RET025,Death of Pet,Agent Forgot,Yes
DH000587,PET000587,CL000111,2025-04-30,96.09,Void,Customer Service,CS012,Cancellation from Renewal (Void),Agent Forgot,No
DH000588,PET000588,CL000122,2025-04-30,34.02,Cancelled,Retentions,RET006,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000589,PET000589,CL000174,2025-04-30,37.45,Cancelled,Customer Service,CS017,Death of Pet,Refund Mailbox Delay,No
DH000590,PET000590,CL000033,2025-04-30,65.03,Void,Customer Service,CS018,Cancellation from Renewal (Void),Agent Forgot,No
DH000591,PET000591,CL000119,2025-04-30,78.43,Cancelled,Retentions,RET017,Death of Pet,Payment Date Misunderstood,No
DH000592,PET000592,CL000022,2025-04-30,38.18,Void,Customer Service,CS015,Death of Pet,Waiting for Information,Yes
DH000593,PET000593,CL000155,2025-04-30,36.94,Cancelled,Retentions,RET001,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000594,PET000594,CL000191,2025-04-30,74.34,Void,Complaints,CMP003,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000595,PET000595,CL000005,2025-04-30,59.42,Void,Retentions,RET008,Cancellation from Renewal (Void),Waiting for Information,No
DH000596,PET000596,CL000198,2025-04-30,28.96,Void,Retentions,RET023,Cancellation from Renewal (Void),Agent Forgot,No
DH000597,PET000597,CL000052,2025-04-30,43.18,Void,Retentions,RET028,Cancellation from Renewal (Void),Waiting for Information,No
DH000598,PET000598,CL000142,2025-04-30,107.41,Cancelled,Customer Service,CS022,Death of Pet,Payment Date Misunderstood,No
DH000599,PET000599,CL000069,2025-04-30,70.86,Cancelled,Complaints,CMP003,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000600,PET000600,CL000089,2025-04-30,30.31,Cancelled,Customer Service,CS020,Death of Pet,Agent Forgot,No
DH000601,PET000601,CL000173,2025-04-30,68.02,Cancelled,Retentions,RET007,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000602,PET000602,CL000041,2025-04-30,55.05,Void,Retentions,RET007,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000603,PET000603,CL000045,2025-04-30,94.72,Cancelled,Customer Service,CS020,Death of Pet,Payment Date Misunderstood,No
DH000604,PET000604,CL000012,2025-04-30,77.86,Cancelled,Claims,CLM009,Cancellation Before Premium Due,Refund Mailbox Delay,No
DH000605,PET000605,CL000194,2025-04-30,1.51,Cancelled,Customer Service,CS004,Death of Pet,Payment Date Misunderstood,No
DH000606,PET000606,CL000187,2025-04-30,27.67,Cancelled,Retentions,RET021,Death of Pet,Waiting for Information,No
DH000607,PET000607,CL000197,2025-04-30,8.43,Cancelled,Retentions,RET009,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000608,PET000608,CL000193,2025-04-30,71.09,Void,Retentions,RET014,Cancellation from Renewal (Void),Agent Forgot,No
DH000609,PET000609,CL000114,2025-04-30,0.59,Void,Complaints,CMP001,Death of Pet,Payment Date Misunderstood,Yes
DH000610,PET000610,CL000170,2025-04-30,130.2,Void,Complaints,CMP005,Death of Pet,Agent Forgot,No
DH000611,PET000611,CL000081,2025-04-30,101.59,Cancelled,Claims,CLM007,Cancellation Before Premium Due,Waiting for Information,No
DH000612,PET000612,CL000114,2025-04-30,94.38,Cancelled,Retentions,RET007,Death of Pet,Payment Date Misunderstood,No
DH000613,PET000613,CL000134,2025-04-30,156.79,Void,Customer Service,CS025,Death of Pet,Payment Date Misunderstood,No
DH000614,PET000614,CL000078,2025-04-30,99.35,Void,Retentions,RET021,Death of Pet,Refund Mailbox Delay,No
DH000615,PET000615,CL000002,2025-04-30,49.32,Cancelled,Complaints,CMP005,Death of Pet,Agent Forgot,No
DH000616,PET000616,CL000183,2025-04-30,39.5,Cancelled,Retentions,RET025,Death of Pet,Payment Date Misunderstood,No
DH000617,PET000617,CL000109,2025-04-30,73.82,Void,Customer Service,CS019,Cancellation from Renewal (Void),Agent Forgot,No
DH000618,PET000618,CL000177,2025-04-30,197.91,Cancelled,Claims,CLM003,Death of Pet,Refund Mailbox Delay,No
DH000619,PET000619,CL000178,2025-04-30,28.94,Cancelled,Complaints,CMP003,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000620,PET000620,CL000011,2025-04-30,14.72,Cancelled,Retentions,RET001,Death of Pet,Payment Date Misunderstood,No
DH000621,PET000621,CL000056,2025-04-30,39.59,Cancelled,Retentions,RET002,Death of Pet,Payment Date Misunderstood,No
DH000622,PET000622,CL000185,2025-04-30,56.65,Void,Customer Service,CS022,Death of Pet,Payment Date Misunderstood,No
DH000623,PET000623,CL000100,2025-04-30,25.82,Void,Claims,CLM005,Cancellation from Renewal (Void),Agent Forgot,No
DH000624,PET000624,CL000182,2025-04-30,35.81,Void,Retentions,RET020,Cancellation from Renewal (Void),Agent Forgot,No
DH000625,PET000625,CL000005,2025-04-30,9.39,Cancelled,Claims,CLM004,Death of Pet,Payment Date Misunderstood,No
DH000626,PET000626,CL000006,2025-04-30,17.23,Void,Retentions,RET003,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000627,PET000627,CL000197,2025-04-30,3.41,Cancelled,Customer Service,CS011,Death of Pet,Payment Date Misunderstood,No
DH000628,PET000628,CL000083,2025-04-30,47.66,Void,Retentions,RET008,Death of Pet,Payment Date Misunderstood,No
DH000629,PET000629,CL000119,2025-04-30,12.63,Cancelled,Claims,CLM001,Cancellation Before Premium Due,Agent Forgot,Yes
DH000630,PET000630,CL000167,2025-04-30,65.24,Void,Customer Service,CS007,Death of Pet,Agent Forgot,No
DH000631,PET000631,CL000143,2025-04-30,10.05,Void,Retentions,RET006,Death of Pet,Payment Date Misunderstood,No
DH000632,PET000632,CL000090,2025-04-30,60.65,Cancelled,Retentions,RET006,Death of Pet,Payment Date Misunderstood,No
DH000633,PET000633,CL000072,2025-04-30,60.55,Void,Claims,CLM006,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000634,PET000634,CL000083,2025-04-30,28.4,Cancelled,Retentions,RET023,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000635,PET000635,CL000173,2025-04-30,32.24,Cancelled,Customer Service,CS013,Cancellation Before Premium Due,Agent Forgot,Yes
DH000636,PET000636,CL000172,2025-04-30,14.95,Void,Retentions,RET020,Death of Pet,Waiting for Information,No
DH000637,PET000637,CL000095,2025-04-30,188.92,Void,Retentions,RET030,Death of Pet,Payment Date Misunderstood,No
DH000638,PET000638,CL000127,2025-04-30,107.37,Void,Customer Service,CS001,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000639,PET000639,CL000129,2025-04-30,32.08,Cancelled,Customer Service,CS022,Death of Pet,Payment Date Misunderstood,No
DH000640,PET000640,CL000059,2025-04-30,86.45,Cancelled,Retentions,RET023,Cancellation Before Premium Due,Waiting for Information,Yes
DH000641,PET000641,CL000173,2025-04-30,110.38,Cancelled,Customer Service,CS014,Death of Pet,Payment Date Misunderstood,No
DH000642,PET000642,CL000185,2025-04-30,21.12,Cancelled,Retentions,RET007,Death of Pet,Payment Date Misunderstood,No
DH000643,PET000643,CL000109,2025-04-30,283.4,Cancelled,Retentions,RET021,Death of Pet,Payment Date Misunderstood,No
DH000644,PET000644,CL000065,2025-04-30,28.95,Void,Claims,CLM006,Cancellation from Renewal (Void),Agent Forgot,No
DH000645,PET000645,CL000115,2025-05-31,13.43,Cancelled,Retentions,RET028,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000646,PET000646,CL000157,2025-05-31,53.3,Cancelled,Customer Service,CS010,Death of Pet,Payment Date Misunderstood,No
DH000647,PET000647,CL000160,2025-05-31,4.15,Void,Claims,CLM010,Death of Pet,Agent Forgot,No
DH000648,PET000648,CL000050,2025-05-31,0.62,Cancelled,Customer Service,CS007,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000649,PET000649,CL000114,2025-05-31,15.52,Void,Customer Service,CS017,Death of Pet,Agent Forgot,Yes
DH000650,PET000650,CL000088,2025-05-31,48.81,Cancelled,Retentions,RET008,Death of Pet,Payment Date Misunderstood,No
DH000651,PET000651,CL000088,2025-05-31,29.03,Void,Customer Service,CS023,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000652,PET000652,CL000085,2025-05-31,28.18,Cancelled,Retentions,RET008,Cancellation Before Premium Due,Agent Forgot,No
DH000653,PET000653,CL000124,2025-05-31,97.63,Cancelled,Retentions,RET006,Death of Pet,Payment Date Misunderstood,No
DH000654,PET000654,CL000050,2025-05-31,95.64,Cancelled,Retentions,RET010,Death of Pet,Payment Date Misunderstood,No
DH000655,PET000655,CL000051,2025-05-31,8.51,Void,Retentions,RET022,Death of Pet,Payment Date Misunderstood,No
DH000656,PET000656,CL000062,2025-05-31,24.9,Void,Claims,CLM010,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000657,PET000657,CL000049,2025-05-31,25.13,Cancelled,Complaints,CMP002,Cancellation Before Premium Due,Agent Forgot,No
DH000658,PET000658,CL000039,2025-05-31,12.14,Cancelled,Claims,CLM009,Death of Pet,Payment Date Misunderstood,No
DH000659,PET000659,CL000131,2025-05-31,45.3,Void,Retentions,RET017,Death of Pet,Payment Date Misunderstood,No
DH000660,PET000660,CL000122,2025-05-31,26.04,Cancelled,Customer Service,CS002,Death of Pet,Waiting for Information,No
DH000661,PET000661,CL000097,2025-05-31,47.42,Cancelled,Retentions,RET003,Death of Pet,Payment Date Misunderstood,No
DH000662,PET000662,CL000110,2025-05-31,27.31,Cancelled,Retentions,RET001,Death of Pet,Payment Date Misunderstood,No
DH000663,PET000663,CL000129,2025-05-31,35.75,Cancelled,Claims,CLM002,Death of Pet,Payment Date Misunderstood,No
DH000664,PET000664,CL000078,2025-05-31,88.43,Void,Retentions,RET020,Cancellation from Renewal (Void),Agent Forgot,No
DH000665,PET000665,CL000003,2025-05-31,64.1,Cancelled,Complaints,CMP005,Death of Pet,Agent Forgot,Yes
DH000666,PET000666,CL000059,2025-05-31,60.5,Cancelled,Customer Service,CS015,Death of Pet,Waiting for Information,No
DH000667,PET000667,CL000107,2025-05-31,28.0,Void,Retentions,RET019,Death of Pet,Payment Date Misunderstood,No
DH000668,PET000668,CL000058,2025-05-31,37.43,Cancelled,Customer Service,CS011,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000669,PET000669,CL000085,2025-05-31,41.97,Cancelled,Customer Service,CS013,Death of Pet,Payment Date Misunderstood,No
DH000670,PET000670,CL000146,2025-05-31,227.8,Void,Customer Service,CS006,Cancellation from Renewal (Void),Agent Forgot,Yes
DH000671,PET000671,CL000099,2025-05-31,19.33,Cancelled,Retentions,RET002,Death of Pet,Waiting for Information,No
DH000672,PET000672,CL000029,2025-05-31,4.47,Cancelled,Retentions,RET029,Death of Pet,Payment Date Misunderstood,No
DH000673,PET000673,CL000155,2025-05-31,22.42,Void,Customer Service,CS007,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000674,PET000674,CL000064,2025-05-31,46.41,Cancelled,Customer Service,CS019,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000675,PET000675,CL000180,2025-05-31,89.62,Cancelled,Claims,CLM007,Death of Pet,Payment Date Misunderstood,No
DH000676,PET000676,CL000179,2025-05-31,25.75,Cancelled,Retentions,RET028,Death of Pet,Payment Date Misunderstood,No
DH000677,PET000677,CL000185,2025-05-31,281.75,Cancelled,Retentions,RET012,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000678,PET000678,CL000043,2025-05-31,30.25,Void,Customer Service,CS024,Death of Pet,Waiting for Information,No
DH000679,PET000679,CL000030,2025-05-31,56.83,Cancelled,Customer Service,CS015,Death of Pet,Agent Forgot,Yes
DH000680,PET000680,CL000072,2025-05-31,58.54,Cancelled,Retentions,RET018,Death of Pet,Payment Date Misunderstood,No
DH000681,PET000681,CL000046,2025-05-31,11.39,Void,Retentions,RET023,Cancellation from Renewal (Void),Waiting for Information,No
DH000682,PET000682,CL000027,2025-05-31,22.34,Void,Customer Service,CS025,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000683,PET000683,CL000108,2025-05-31,0.64,Void,Customer Service,CS003,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000684,PET000684,CL000186,2025-05-31,26.63,Void,Customer Service,CS007,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000685,PET000685,CL000028,2025-05-31,16.95,Void,Retentions,RET015,Death of Pet,Payment Date Misunderstood,No
DH000686,PET000686,CL000056,2025-05-31,40.7,Cancelled,Customer Service,CS019,Death of Pet,Payment Date Misunderstood,No
DH000687,PET000687,CL000198,2025-05-31,66.61,Cancelled,Claims,CLM006,Death of Pet,Refund Mailbox Delay,No
DH000688,PET000688,CL000190,2025-05-31,33.5,Void,Retentions,RET020,Death of Pet,Agent Forgot,No
DH000689,PET000689,CL000096,2025-05-31,18.09,Cancelled,Retentions,RET024,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000690,PET000690,CL000195,2025-05-31,8.02,Cancelled,Customer Service,CS008,Death of Pet,Payment Date Misunderstood,No
DH000691,PET000691,CL000176,2025-05-31,61.13,Cancelled,Customer Service,CS006,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000692,PET000692,CL000014,2025-05-31,57.09,Cancelled,Customer Service,CS007,Death of Pet,Payment Date Misunderstood,No
DH000693,PET000693,CL000109,2025-05-31,19.97,Void,Customer Service,CS009,Death of Pet,Payment Date Misunderstood,No
DH000694,PET000694,CL000130,2025-05-31,71.68,Cancelled,Customer Service,CS025,Death of Pet,Refund Mailbox Delay,No
DH000695,PET000695,CL000142,2025-05-31,62.87,Cancelled,Retentions,RET020,Death of Pet,Payment Date Misunderstood,No
DH000696,PET000696,CL000004,2025-05-31,86.52,Cancelled,Retentions,RET013,Death of Pet,Refund Mailbox Delay,Yes
DH000697,PET000697,CL000032,2025-05-31,32.63,Cancelled,Retentions,RET030,Death of Pet,Agent Forgot,No
DH000698,PET000698,CL000109,2025-05-31,62.13,Cancelled,Customer Service,CS022,Cancellation Before Premium Due,Agent Forgot,Yes
DH000699,PET000699,CL000175,2025-05-31,2.85,Cancelled,Customer Service,CS006,Death of Pet,Agent Forgot,Yes
DH000700,PET000700,CL000021,2025-05-31,17.56,Cancelled,Retentions,RET010,Cancellation Before Premium Due,Agent Forgot,No
DH000701,PET000701,CL000023,2025-05-31,5.94,Void,Claims,CLM005,Cancellation from Renewal (Void),Payment Date Misunderstood,No
DH000702,PET000702,CL000126,2025-05-31,1.16,Cancelled,Customer Service,CS021,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000703,PET000703,CL000051,2025-05-31,30.11,Cancelled,Retentions,RET007,Cancellation Before Premium Due,Waiting for Information,Yes
DH000704,PET000704,CL000105,2025-05-31,46.52,Cancelled,Retentions,RET003,Death of Pet,Payment Date Misunderstood,No
DH000705,PET000705,CL000195,2025-05-31,1.08,Cancelled,Retentions,RET019,Death of Pet,Payment Date Misunderstood,No
DH000706,PET000706,CL000195,2025-05-31,29.44,Cancelled,Customer Service,CS011,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000707,PET000707,CL000093,2025-05-31,68.93,Cancelled,Retentions,RET004,Death of Pet,Agent Forgot,No
DH000708,PET000708,CL000155,2025-05-31,5.54,Cancelled,Customer Service,CS008,Death of Pet,Waiting for Information,No
DH000709,PET000709,CL000001,2025-05-31,291.51,Void,Retentions,RET012,Cancellation from Renewal (Void),Agent Forgot,No
DH000710,PET000710,CL000125,2025-05-31,34.51,Cancelled,Complaints,CMP004,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000711,PET000711,CL000134,2025-05-31,89.25,Cancelled,Retentions,RET016,Death of Pet,Payment Date Misunderstood,No
DH000712,PET000712,CL000115,2025-05-31,196.44,Void,Retentions,RET022,Death of Pet,Payment Date Misunderstood,No
DH000713,PET000713,CL000099,2025-05-31,61.03,Void,Claims,CLM002,Cancellation from Renewal (Void),Agent Forgot,No
DH000714,PET000714,CL000086,2025-05-31,96.59,Void,Customer Service,CS021,Death of Pet,Agent Forgot,Yes
DH000715,PET000715,CL000144,2025-05-31,187.4,Cancelled,Retentions,RET004,Death of Pet,Payment Date Misunderstood,No
DH000716,PET000716,CL000033,2025-05-31,97.7,Void,Retentions,RET002,Cancellation from Renewal (Void),Refund Mailbox Delay,No
DH000717,PET000717,CL000174,2025-05-31,125.27,Void,Customer Service,CS004,Death of Pet,Payment Date Misunderstood,No
DH000718,PET000718,CL000057,2025-05-31,28.24,Cancelled,Retentions,RET022,Cancellation Before Premium Due,Payment Date Misunderstood,No
DH000719,PET000719,CL000181,2025-05-31,35.25,Void,Complaints,CMP001,Death of Pet,Waiting for Information,No
